epoch,endogeq_base_ode,endogvar_x_cond_initial_condition,total_loss
0,5.328922271728516,1.3647851943969727,6.693707466125488
50,3.118379592895508,0.2649015486240387,3.3832812309265137
100,0.7899512648582458,0.08995963633060455,0.8799108862876892
150,0.05711553990840912,0.0030577138531953096,0.06017325446009636
200,0.013085913844406605,6.935096462257206e-05,0.013155264779925346
250,0.00216996599920094,8.230534149333835e-06,0.0021781965624541044
300,0.0008342122309841216,1.9300573512737174e-06,0.0008361422806046903
350,0.0005478390958160162,7.579115390399238e-06,0.000555418198928237
400,0.00045108015183359385,3.8499343645526096e-05,0.000489579513669014
450,0.0003127205709461123,1.27148325645976e-06,0.00031399205909110606
500,0.00028578852652572095,4.874713340541348e-06,0.0002906632435042411
550,0.00022535592142958194,2.318864790140651e-05,0.00024854455841705203
600,0.00023116858210414648,1.1100132724095602e-06,0.0002322786021977663
650,0.0002376164629822597,8.201148375519551e-06,0.00024581761681474745
700,0.0001925298129208386,1.3020160622545518e-05,0.00020554997900035232
750,0.00023481757671106607,4.407320375321433e-07,0.00023525831056758761
800,0.00017648079665377736,7.448988981195726e-07,0.00017722569464240223
850,0.0002853588666766882,1.1266538422205485e-06,0.00028648553416132927
900,0.0003206724941264838,1.0891253623412922e-05,0.00033156375866383314
950,0.00010335772094549611,1.7133344954345375e-05,0.00012049106589984149
999,0.0001150993412011303,1.6072934840849484e-06,0.00011670663661789149
